City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
4,Hukuntsi,BW,74.19,scattered clouds,-24.0,21.75,Entabeni Hotel
5,Hobart,AU,66.25,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
6,Kapaa,US,81.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Shieli,KZ,50.61,overcast clouds,44.1667,66.75,Gostinitsa Aybek Shieli
10,Port Alfred,ZA,73.69,broken clouds,-33.5906,26.891,The Halyards Hotel
11,Atuona,PF,78.87,broken clouds,-9.8,-139.0333,Villa Enata
12,Cacu,BR,80.11,overcast clouds,-18.5567,-51.1308,Império Hotel
13,Rikitea,PF,78.13,clear sky,-23.1203,-134.9692,People ThankYou
16,Lorengau,PG,83.57,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
19,Karonga,MW,71.96,overcast clouds,-9.9333,33.9333,Sumuka Inn
20,Mataura,NZ,55.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
21,Bandar,ID,70.81,scattered clouds,2.05,99.75,املاك خالد الشعشوع
22,Cockburn Town,TC,78.03,clear sky,21.4612,-71.1419,Osprey Beach Hotel
23,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
24,Poum,NC,81.7,clear sky,-20.2333,164.0167,املاك خالد الشعشوع
25,Busselton,AU,68.61,few clouds,-33.65,115.3333,Observatory Guest House
26,Bluff,NZ,55.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
28,Camacha,PT,56.62,clear sky,33.0833,-16.3333,Hotel Porto Santo & Spa
29,Cape Town,ZA,71.11,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
30,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Faanui,PF,81.55,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
32,Shache,CN,52.57,overcast clouds,38.4167,77.2406,Delong Hotel
33,Saint George,US,60.26,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
34,Medea,DZ,50.47,overcast clouds,36.2642,2.7539,Hôtel M'Sallah
36,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
38,Ancud,CL,58.91,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
40,Hermanus,ZA,74.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
41,Rincon,US,62.56,overcast clouds,32.296,-81.2354,Days Inn Rincon
42,Cururupu,BR,73.36,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
43,Adrar,MR,67.75,clear sky,20.5022,-10.0711,املاك خالد الشعشوع
44,Punta Arenas,CL,50.11,clear sky,-53.15,-70.9167,Hotel Hain
45,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
46,Jijiga,ET,64.58,overcast clouds,9.35,42.8,RAMAAS HOTEL
47,Caravelas,BR,76.46,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
48,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
49,Castro,BR,65.01,light rain,-24.7911,-50.0119,CHACARA BAILLY
50,Saldanha,ZA,70.57,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
52,Kruisfontein,ZA,71.98,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
53,Hirara,JP,70.05,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
56,Te Anau,NZ,61.5,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
58,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
60,Arraial Do Cabo,BR,78.84,clear sky,-22.9661,-42.0278,Pousada Porto Praia
62,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
64,Guerrero Negro,MX,72.82,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
65,Hilo,US,82.26,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
66,Hengyang,CN,67.32,scattered clouds,26.8881,112.615,Honglin Guesthouse
67,Esperance,AU,67.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
68,Mar Del Plata,AR,62.1,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
69,Takoradi,GH,81.07,broken clouds,4.8845,-1.7554,Raybow International Hotel
71,Uarini,BR,75.54,light rain,-2.99,-65.1083,املاك خالد الشعشوع
72,Reyes,BO,74.93,overcast clouds,-14.3167,-67.3833,املاك خالد الشعشوع
