City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Veraval,20.9,70.3667,74.08,53,26,14.18,IN,2022-03-06 19:30:41
1,Hermanus,-34.4187,19.2345,69.8,92,32,4.83,ZA,2022-03-06 19:30:41
2,Avarua,-21.2078,-159.775,80.65,83,75,11.5,CK,2022-03-06 19:30:42
3,Vanimo,-2.6741,141.3028,76.68,88,65,2.75,PG,2022-03-06 19:30:42
4,San Patricio,28.017,-97.5169,84.61,60,98,21.54,US,2022-03-06 19:30:42
5,Cherskiy,68.75,161.3,-34.76,100,33,1.66,RU,2022-03-06 19:30:43
6,Tasiilaq,65.6145,-37.6368,26.76,91,97,9.62,GL,2022-03-06 19:30:43
7,Vila Franca Do Campo,37.7167,-25.4333,64.2,89,98,10.4,PT,2022-03-06 19:30:44
8,Barrow,71.2906,-156.7887,5.02,72,100,13.8,US,2022-03-06 19:30:44
9,Busselton,-33.65,115.3333,66.04,85,2,14.12,AU,2022-03-06 19:30:44
10,Hualmay,-11.0964,-77.6139,75.87,73,70,8.19,PE,2022-03-06 19:30:45
11,Luderitz,-26.6481,15.1594,68.65,87,16,12.28,NA,2022-03-06 19:30:46
12,Arraial Do Cabo,-22.9661,-42.0278,85.96,65,0,24.16,BR,2022-03-06 19:30:46
13,Cape Town,-33.9258,18.4232,72.01,79,75,17.27,ZA,2022-03-06 19:30:46
14,Bengkulu,-3.8004,102.2655,76.06,85,99,4.23,ID,2022-03-06 19:30:47
15,Boguchany,58.3814,97.4531,16.36,97,100,1.92,RU,2022-03-06 19:30:47
16,Altay,47.8667,88.1167,30.33,62,100,6.53,CN,2022-03-06 19:30:48
17,Harwich,51.9419,1.2844,43.21,74,65,11.01,GB,2022-03-06 19:27:52
18,Vaini,-21.2,-175.2,77.16,94,75,5.75,TO,2022-03-06 19:30:48
19,Santa Cruz,-17.8,-63.1667,93.25,52,40,14.97,BO,2022-03-06 19:30:03
20,Zemio,5.0314,25.1361,78.06,24,27,0.38,CF,2022-03-06 19:30:49
21,Rikitea,-23.1203,-134.9692,79.12,77,100,18.61,PF,2022-03-06 19:26:48
