City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Sorland,67.667,12.6934,42.46,84,95,10.98,NO,2022-03-11 23:08:36,overcast clouds
1,Nantucket,41.2835,-70.0995,41.11,87,0,6.91,US,2022-03-11 23:03:44,clear sky
2,Vaini,-21.2,-175.2,84.36,84,75,8.05,TO,2022-03-11 23:08:37,broken clouds
3,Upernavik,72.7868,-56.1549,-16.49,100,71,7.81,GL,2022-03-11 23:08:37,broken clouds
4,Hukuntsi,-24.0,21.75,74.19,44,26,11.81,BW,2022-03-11 23:08:38,scattered clouds
5,Hobart,-42.8794,147.3294,66.25,62,20,8.05,AU,2022-03-11 23:08:38,few clouds
6,Kapaa,22.0752,-159.319,81.12,70,20,10.36,US,2022-03-11 23:08:39,few clouds
7,Ushuaia,-54.8,-68.3,47.86,57,20,17.27,AR,2022-03-11 23:07:35,few clouds
8,Yichun,47.7,128.9,13.32,92,73,0.4,CN,2022-03-11 23:08:39,broken clouds
9,Shieli,44.1667,66.75,50.61,75,97,7.2,KZ,2022-03-11 23:08:39,overcast clouds
10,Port Alfred,-33.5906,26.891,73.69,89,67,17.0,ZA,2022-03-11 23:08:40,broken clouds
11,Atuona,-9.8,-139.0333,78.87,76,78,16.91,PF,2022-03-11 23:06:05,broken clouds
12,Cacu,-18.5567,-51.1308,80.11,59,100,3.22,BR,2022-03-11 23:08:41,overcast clouds
13,Rikitea,-23.1203,-134.9692,78.13,70,3,1.48,PF,2022-03-11 23:08:41,clear sky
14,Yellowknife,62.456,-114.3525,3.42,77,100,5.99,CA,2022-03-11 23:07:50,overcast clouds
15,Kirkconnel,55.3856,-3.9984,48.34,95,100,6.02,GB,2022-03-11 23:08:42,overcast clouds
16,Lorengau,-2.0226,147.2712,83.57,72,95,4.52,PG,2022-03-11 23:08:42,overcast clouds
17,Wajima,37.4,136.9,49.48,63,3,6.29,JP,2022-03-11 23:08:43,clear sky
18,Nanortalik,60.1432,-45.2371,13.6,75,85,29.68,GL,2022-03-11 23:08:43,overcast clouds
19,Karonga,-9.9333,33.9333,71.96,91,98,3.96,MW,2022-03-11 23:08:44,overcast clouds
20,Mataura,-46.1927,168.8643,55.47,85,100,10.74,NZ,2022-03-11 23:08:44,overcast clouds
21,Bandar,2.05,99.75,70.81,97,44,2.33,ID,2022-03-11 23:08:45,scattered clouds
22,Cockburn Town,21.4612,-71.1419,78.03,81,0,20.04,TC,2022-03-11 23:08:45,clear sky
23,Pisco,-13.7,-76.2167,73.45,73,0,16.11,PE,2022-03-11 23:08:45,clear sky
24,Poum,-20.2333,164.0167,81.7,74,1,1.97,NC,2022-03-11 23:08:46,clear sky
25,Busselton,-33.65,115.3333,68.61,81,12,8.99,AU,2022-03-11 23:04:46,few clouds
26,Bluff,-46.6,168.3333,55.8,78,93,22.21,NZ,2022-03-11 23:08:46,overcast clouds
27,Jamestown,42.097,-79.2353,35.24,65,100,10.36,US,2022-03-11 23:04:54,mist
28,Camacha,33.0833,-16.3333,56.62,77,0,8.05,PT,2022-03-11 23:08:47,clear sky
29,Cape Town,-33.9258,18.4232,71.11,77,66,1.61,ZA,2022-03-11 23:05:30,broken clouds
30,Saint-Philippe,-21.3585,55.7679,76.59,83,39,8.84,RE,2022-03-11 23:04:54,scattered clouds
31,Faanui,-16.4833,-151.75,81.55,69,24,9.8,PF,2022-03-11 23:08:48,few clouds
32,Shache,38.4167,77.2406,52.57,22,87,6.64,CN,2022-03-11 23:08:48,overcast clouds
33,Saint George,37.1041,-113.5841,60.26,12,0,0.0,US,2022-03-11 23:08:49,clear sky
34,Medea,36.2642,2.7539,50.47,75,100,3.2,DZ,2022-03-11 23:08:49,overcast clouds
35,Aksu,41.1231,80.2644,49.41,31,99,2.42,CN,2022-03-11 23:08:50,overcast clouds
36,Puerto Escondido,15.85,-97.0667,85.03,70,40,8.05,MX,2022-03-11 23:08:50,scattered clouds
37,Moose Factory,51.2585,-80.6094,18.93,89,100,4.16,CA,2022-03-11 23:08:51,overcast clouds
38,Ancud,-41.8697,-73.8203,58.91,82,2,3.06,CL,2022-03-11 23:08:51,clear sky
39,Sovetskiy,61.3614,63.5842,-3.93,98,99,7.54,RU,2022-03-11 23:08:51,overcast clouds
40,Hermanus,-34.4187,19.2345,74.8,76,100,6.87,ZA,2022-03-11 23:08:52,overcast clouds
41,Rincon,32.296,-81.2354,62.56,92,100,6.91,US,2022-03-11 23:04:47,overcast clouds
42,Cururupu,-1.8283,-44.8683,73.36,97,100,2.73,BR,2022-03-11 23:08:53,overcast clouds
43,Adrar,20.5022,-10.0711,67.75,10,0,11.5,MR,2022-03-11 23:08:53,clear sky
44,Punta Arenas,-53.15,-70.9167,50.11,57,0,6.91,CL,2022-03-11 23:08:53,clear sky
45,Avarua,-21.2078,-159.775,84.25,79,75,4.61,CK,2022-03-11 23:09:54,broken clouds
46,Jijiga,9.35,42.8,64.58,62,91,1.81,ET,2022-03-11 23:09:54,overcast clouds
47,Caravelas,-17.7125,-39.2481,76.46,85,84,4.99,BR,2022-03-11 23:09:55,broken clouds
48,Bambous Virieux,-20.3428,57.7575,77.25,94,75,5.75,MU,2022-03-11 23:09:55,light rain
49,Castro,-24.7911,-50.0119,65.01,98,87,4.54,BR,2022-03-11 23:09:55,light rain
50,Saldanha,-33.0117,17.9442,70.57,77,38,4.83,ZA,2022-03-11 23:09:56,scattered clouds
51,Thompson,55.7435,-97.8558,5.9,85,100,8.3,CA,2022-03-11 23:09:56,overcast clouds
52,Kruisfontein,-34.0033,24.7314,71.98,81,81,15.59,ZA,2022-03-11 23:09:56,broken clouds
53,Hirara,24.8,125.2833,70.05,70,0,14.07,JP,2022-03-11 23:09:57,clear sky
54,Chokurdakh,70.6333,147.9167,-11.06,96,100,7.38,RU,2022-03-11 23:09:57,overcast clouds
55,Hofn,64.2539,-15.2082,41.65,95,100,13.2,IS,2022-03-11 23:09:57,light rain
56,Te Anau,-45.4167,167.7167,61.5,57,96,4.0,NZ,2022-03-11 23:09:58,overcast clouds
57,Barrow,71.2906,-156.7887,1.42,85,100,8.05,US,2022-03-11 23:09:58,overcast clouds
58,Souillac,-20.5167,57.5167,77.38,94,75,5.75,MU,2022-03-11 23:10:00,broken clouds
59,Chernyshevskiy,63.0128,112.4714,-18.44,100,100,2.21,RU,2022-03-11 23:10:00,overcast clouds
60,Arraial Do Cabo,-22.9661,-42.0278,78.84,83,0,25.97,BR,2022-03-11 23:10:01,clear sky
61,Ankara,39.9199,32.8543,22.21,66,40,3.44,TR,2022-03-11 23:05:04,scattered clouds
62,Comodoro Rivadavia,-45.8667,-67.5,66.06,45,0,9.22,AR,2022-03-11 23:10:02,clear sky
63,Baykit,61.67,96.37,-15.95,99,99,2.57,RU,2022-03-11 23:10:03,overcast clouds
64,Guerrero Negro,27.9769,-114.0611,72.82,20,3,20.98,MX,2022-03-11 23:10:04,clear sky
65,Hilo,19.7297,-155.09,82.26,68,20,13.8,US,2022-03-11 23:10:04,few clouds
66,Hengyang,26.8881,112.615,67.32,83,42,3.67,CN,2022-03-11 23:09:59,scattered clouds
67,Esperance,-33.8667,121.9,67.44,63,97,14.58,AU,2022-03-11 23:10:05,overcast clouds
68,Mar Del Plata,-38.0023,-57.5575,62.1,68,40,8.99,AR,2022-03-11 23:05:21,scattered clouds
69,Takoradi,4.8845,-1.7554,81.07,83,77,7.25,GH,2022-03-11 23:10:06,broken clouds
70,Hessisch Lichtenau,51.2,9.7167,31.06,57,13,3.65,DE,2022-03-11 23:10:07,few clouds
71,Uarini,-2.99,-65.1083,75.54,95,66,3.94,BR,2022-03-11 23:10:07,light rain
72,Reyes,-14.3167,-67.3833,74.93,96,99,3.47,BO,2022-03-11 23:10:08,overcast clouds
73,Cairns,-16.9167,145.7667,86.07,81,40,6.91,AU,2022-03-11 23:07:11,scattered clouds
74,Hinton,53.4001,-117.5857,36.68,79,100,8.28,CA,2022-03-11 23:10:09,overcast clouds
75,Aksarka,66.5606,67.7975,-3.68,100,99,10.2,RU,2022-03-11 23:10:09,overcast clouds
76,Hasaki,35.7333,140.8333,50.4,65,0,10.87,JP,2022-03-11 23:10:10,clear sky
77,Hualmay,-11.0964,-77.6139,74.52,76,38,8.25,PE,2022-03-11 23:10:10,scattered clouds
78,Beringovskiy,63.05,179.3167,9.27,79,3,9.31,RU,2022-03-11 23:10:11,clear sky
79,Dikson,73.5069,80.5464,-1.14,92,100,23.89,RU,2022-03-11 23:10:11,overcast clouds
80,Ayr,55.4627,-4.6339,49.32,87,75,11.5,GB,2022-03-11 23:09:11,broken clouds
81,Lisakovsk,52.5369,62.4936,4.77,94,100,14.07,KZ,2022-03-11 23:10:12,overcast clouds
82,Kerrobert,51.9168,-109.1348,8.98,80,100,12.21,CA,2022-03-11 23:10:12,overcast clouds
83,Torbay,47.6666,-52.7314,33.58,66,90,10.0,CA,2022-03-11 23:05:34,overcast clouds
84,Glasgow,55.8652,-4.2576,49.03,90,100,5.75,GB,2022-03-11 23:07:36,moderate rain
85,Isla Vista,34.4133,-119.861,74.91,19,0,8.05,US,2022-03-11 23:10:13,clear sky
86,High Rock,26.6208,-78.2833,78.82,81,1,13.27,BS,2022-03-11 23:10:14,clear sky
87,Praia Da Vitoria,38.7333,-27.0667,59.76,84,100,16.24,PT,2022-03-11 23:10:14,overcast clouds
88,Valley City,46.9233,-98.0032,5.52,56,40,19.57,US,2022-03-11 23:10:15,scattered clouds
89,Puerto Leguizamo,-0.1934,-74.7819,79.21,79,95,3.51,CO,2022-03-11 23:10:15,heavy intensity rain
